company_name,province,publication_date,start_of_operations,corporate_purpose,registered_address,share_capital_eur,registry_reference,borme_entry_number,source_url
PROMOTORA Y CONSTRUCTORA COSTA NOVA MEDITERRANEA SOCIEDAD LIMITADA,ALBACETE,2026-09-17,2026-09-04,"La promoción de proyectos de construcción de edificios residenciales y no residenciales mediante la consecución de los medios financieros, técnicos y físicos necesarios para la realización de tales proyectos con vistas a su venta posterior. Comprende la promoción, compra, venta y arrendamiento de bi","C/ TURBAS DE CUENCA, 1 bajo (HELLIN)",3000.00,"S 8 , H AB 32497, I/A 1 (10.09.26)",417140,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-02.pdf
ESQUINA & BLONDES SL,ALICANTE/ALACANT,2026-09-17,2026-08-31,"Promoción inmobiliaria. -CNAE 6812-. La promoción, construcción, explotación, venta y arrendamiento de terrenos y edificaciones de toda clase. La realización de programas de adquisición, transformación, parcelación, urbanización y enajenación de terrenos. Arrendamiento y subarrendamiento de bienes i",AVDA MASNOU 6 (CALPE),3000.00,"S 8 , H A 208088, I/A 1 (10.09.26)",417150,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-03.pdf
RACIMO & BLONDES SL,ALICANTE/ALACANT,2026-09-17,2026-08-31,"Promoción inmobiliaria. -CNAE 6812-. La promoción, construcción, explotación, venta y arrendamiento de terrenos y edificaciones de toda clase. La realización de programas de adquisición, transformación, parcelación, urbanización y enajenación de terrenos. Arrendamiento y subarrendamiento de bienes i",AVDA MASNOU 6 (CALPE),3000.00,"S 8 , H A 208090, I/A 1 (10.09.26)",417154,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-03.pdf
BRULEE & BLONDES SL,ALICANTE/ALACANT,2026-09-17,2026-08-31,"Promoción inmobiliaria.-CNAE 6812-. La promoción, construcción, explotación, venta y arrendamiento de terrenos y edificaciones de toda clase. La realización de programas de adquisición, transformación, parcelación, urbanización y enajenación de terrenos. Arrendamiento y subarrendamiento de bienes in",AVDA MASNOU 6 (CALPE),3000.00,"S 8 , H A 208092, I/A 1 (10.09.26)",417157,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-03.pdf
BANDOSSA INVEST SL,ALICANTE/ALACANT,2026-09-17,2026-08-10,La compraventa de bienes inmobiliarios por cuenta propia,C/ SIBIL-LA 1 (DENIA),3000.00,"S 8 , H A 208093, I/A 1 (10.09.26)",417158,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-03.pdf
NEX40 GLOBAL SERVICES SOCIEDAD LIMITADA,ALMERÍA,2026-09-17,2026-07-15,"CNAE 7420. Servicios fotográficos. La actividad específica de gestion y explotación de una red de franquicias (actuar como la central franquiciadora de la marca de fotografía NEX40) dentro de la sociedad NEX40 GLOBAL SERVICES SL (cobro de canon de entrada, royalties mensuales, canon de publicidad y","C/ CATEDRATICO IGANCIO CUBILLAS, 6 2º 3 04006 (ALMERIA)",3000.00,"S 8 , H AL 67093, I/A 1 (10.09.26)",417208,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-04.pdf
TINGELINGELING SOCIEDAD LIMITADA,ALMERÍA,2026-09-17,2026-08-27,"CNAE: 56.30.- Servicio de bebidas. 1.1.- La prestación de servicios de alimentación y hospedaje en todas sus categorías. La explotación de la actividad de restauración en todas sus categorías: Café-bar; café-bar con musca; restaurante. 1.2.- El comercio al por menor y al por mayor, realizado en esta","PASEO DEL MEDITERRANEO, 8 04638 (MOJACAR)",3000.00,"S 8 , H AL 67095, I/A 1 (10.09.26)",417209,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-04.pdf
INVERSIONES CAPITO SOCIEDAD LIMITADA,ALMERÍA,2026-09-17,2026-07-23,"Actividad principal: La adquisición, tenencia, administración, gestión, explotación, arrendamiento y enajenación de bienes inmuebles de naturaleza urbana y rústica. CNAE 6811. Otras actividades: La adquisición, tenencia, administración y transmisión de valores mobiliarios, participaciones sociale","C/ ALARCON, 1, CORTIJOS DE MARIN 04741 (ROQUETAS DE MAR)",10000.00,"S 8 , H AL 67099, I/A 1 (10.09.26). BOLETÍN OFICIAL DEL REGISTRO MERCANTIL Núm. 180 Jueves 17 de septiembre de 2026 Pág. 43953 cve: BORME-A-2026-180-04Verificable en https://www.boe.es",417210,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-04.pdf
ALGO VERDE SOCIEDAD LIMITADA,ALMERÍA,2026-09-17,2026-09-09,"Comercio al por mayor de vehículos de motor. Comercio al por mayor de repuestos y accesorios de vehículos de motor. Comercio al por mayor de motocicletas, y repuestos y accesorios de motocicletas. Reparación y mantenimiento de vehículos de motor. Reparación y mantenimiento de motocicletas","MANUEL ALTOLAGUIRRE, 1 Esc.1 04740 (ROQUETAS DE MAR)",3000.00,"S 8 , H AL 67102, I/A 1 (10.09.26). BOLETÍN OFICIAL DEL REGISTRO MERCANTIL Núm. 180 Jueves 17 de septiembre de 2026 Pág. 43954 cve: BORME-A-2026-180-04Verificable en https://www.boe.es https://www.boe.es BOLETÍN OFICIAL DEL REGISTRO MERCANTIL D.L.: M-5188/1990 - ISSN: 0214-9958",417211,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-04.pdf
CRESCIA CAPITAL S.L,BADAJOZ,2026-09-17,2026-09-03,"a) Como actividad principal tendrá: Actividades de cuentas fiduciarias, patrimoniales y de agencia. El objeto social está encuadrado con el número 6432 en el código de actividad económica de la Clasificación Nacional de Actividades Económicas: b) La adquisición, tenencia, administración y disposició","C/ MUSEO, 9 Ptl.1 Esc.2 1º B 06003 (BADAJOZ)",3000.00,"S 8 , H BA 36705, I/A 1 (10.09.26)",417217,https://www.boe.es/borme/dias/2026/09/17/pdfs/BORME-A-2026-180-06.pdf
